 x, y, z, pressure, velmag, vx, vy, vz
  0.0000,   0.0000,   0.0000,   1.0687,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.0323,   0.0000,   1.0583,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.0645,   0.0000,   1.0374,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.0968,   0.0000,   1.0176,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.1290,   0.0000,   1.0002,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.1613,   0.0000,   0.9852,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.1935,   0.0000,   0.9724,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.2258,   0.0000,   0.9615,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.2581,   0.0000,   0.9522,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.2903,   0.0000,   0.9443,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.3226,   0.0000,   0.9377,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.3548,   0.0000,   0.9324,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.3871,   0.0000,   0.9282,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.4194,   0.0000,   0.9251,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.4516,   0.0000,   0.9230,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.4839,   0.0000,   0.9221,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.5161,   0.0000,   0.9221,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.5484,   0.0000,   0.9230,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.5806,   0.0000,   0.9251,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.6129,   0.0000,   0.9282,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.6452,   0.0000,   0.9324,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.6774,   0.0000,   0.9377,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.7097,   0.0000,   0.9443,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.7419,   0.0000,   0.9522,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.7742,   0.0000,   0.9615,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.8065,   0.0000,   0.9724,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.8387,   0.0000,   0.9852,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.8710,   0.0000,   1.0002,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.9032,   0.0000,   1.0176,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.9355,   0.0000,   1.0374,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   0.9677,   0.0000,   1.0583,  1.00000,  1.00000,  0.00000,  0.00000
  0.0000,   1.0000,   0.0000,   1.0687,  0.00000,  0.00000,  0.00000,  0.00000
  0.3226,   0.0000,   0.0000,   0.9172,  0.00000,  0.00000,  0.00000,  0.00000
  0.3226,   0.0323,   0.0000,   0.9132,  0.47126,  0.46941,  0.04174,  0.00000
  0.3226,   0.0645,   0.0000,   0.9050,  0.74687,  0.74368,  0.06904,  0.00000
  0.3226,   0.0968,   0.0000,   0.8973,  0.91116,  0.90720,  0.08485,  0.00000
  0.3226,   0.1290,   0.0000,   0.8909,  1.00939,  1.00519,  0.09206,  0.00000
  0.3226,   0.1613,   0.0000,   0.8856,  1.06723,  1.06317,  0.09311,  0.00000
  0.3226,   0.1935,   0.0000,   0.8812,  1.09996,  1.09629,  0.08987,  0.00000
  0.3226,   0.2258,   0.0000,   0.8774,  1.11705,  1.11391,  0.08376,  0.00000
  0.3226,   0.2581,   0.0000,   0.8742,  1.12453,  1.12198,  0.07578,  0.00000
  0.3226,   0.2903,   0.0000,   0.8715,  1.12633,  1.12436,  0.06664,  0.00000
  0.3226,   0.3226,   0.0000,   0.8693,  1.12500,  1.12357,  0.05682,  0.00000
  0.3226,   0.3548,   0.0000,   0.8674,  1.12222,  1.12125,  0.04665,  0.00000
  0.3226,   0.3871,   0.0000,   0.8659,  1.11906,  1.11847,  0.03631,  0.00000
  0.3226,   0.4194,   0.0000,   0.8648,  1.11621,  1.11591,  0.02593,  0.00000
  0.3226,   0.4516,   0.0000,   0.8641,  1.11411,  1.11400,  0.01554,  0.00000
  0.3226,   0.4839,   0.0000,   0.8637,  1.11300,  1.11299,  0.00518,  0.00000
  0.3226,   0.5161,   0.0000,   0.8637,  1.11300,  1.11299, -0.00518,  0.00000
  0.3226,   0.5484,   0.0000,   0.8641,  1.11411,  1.11400, -0.01554,  0.00000
  0.3226,   0.5806,   0.0000,   0.8648,  1.11621,  1.11591, -0.02593,  0.00000
  0.3226,   0.6129,   0.0000,   0.8659,  1.11906,  1.11847, -0.03631,  0.00000
  0.3226,   0.6452,   0.0000,   0.8674,  1.12222,  1.12125, -0.04665,  0.00000
  0.3226,   0.6774,   0.0000,   0.8693,  1.12500,  1.12357, -0.05682,  0.00000
  0.3226,   0.7097,   0.0000,   0.8715,  1.12633,  1.12436, -0.06664,  0.00000
  0.3226,   0.7419,   0.0000,   0.8742,  1.12453,  1.12198, -0.07578,  0.00000
  0.3226,   0.7742,   0.0000,   0.8774,  1.11705,  1.11391, -0.08376,  0.00000
  0.3226,   0.8065,   0.0000,   0.8812,  1.09996,  1.09629, -0.08987,  0.00000
  0.3226,   0.8387,   0.0000,   0.8856,  1.06723,  1.06317, -0.09311,  0.00000
  0.3226,   0.8710,   0.0000,   0.8909,  1.00939,  1.00519, -0.09206,  0.00000
  0.3226,   0.9032,   0.0000,   0.8973,  0.91116,  0.90720, -0.08485,  0.00000
  0.3226,   0.9355,   0.0000,   0.9050,  0.74687,  0.74368, -0.06904,  0.00000
  0.3226,   0.9677,   0.0000,   0.9132,  0.47126,  0.46941, -0.04174,  0.00000
  0.3226,   1.0000,   0.0000,   0.9172,  0.00000,  0.00000,  0.00000,  0.00000
  0.6452,   0.0000,   0.0000,   0.7177,  0.00000,  0.00000,  0.00000,  0.00000
  0.6452,   0.0323,   0.0000,   0.7192,  0.30969,  0.30959,  0.00810,  0.00000
  0.6452,   0.0645,   0.0000,   0.7223,  0.56924,  0.56885,  0.02107,  0.00000
  0.6452,   0.0968,   0.0000,   0.7255,  0.77051,  0.76979,  0.03350,  0.00000
  0.6452,   0.1290,   0.0000,   0.7288,  0.91844,  0.91743,  0.04311,  0.00000
  0.6452,   0.1613,   0.0000,   0.7322,  1.02308,  1.02189,  0.04929,  0.00000
  0.6452,   0.1935,   0.0000,   0.7354,  1.09473,  1.09348,  0.05216,  0.00000
  0.6452,   0.2258,   0.0000,   0.7385,  1.14215,  1.14096,  0.05219,  0.00000
  0.6452,   0.2581,   0.0000,   0.7412,  1.17230,  1.17124,  0.04992,  0.00000
  0.6452,   0.2903,   0.0000,   0.7436,  1.19047,  1.18958,  0.04588,  0.00000
  0.6452,   0.3226,   0.0000,   0.7456,  1.20059,  1.19991,  0.04050,  0.00000
  0.6452,   0.3548,   0.0000,   0.7473,  1.20557,  1.20509,  0.03416,  0.00000
  0.6452,   0.3871,   0.0000,   0.7486,  1.20749,  1.20719,  0.02714,  0.00000
  0.6452,   0.4194,   0.0000,   0.7496,  1.20782,  1.20766,  0.01967,  0.00000
  0.6452,   0.4516,   0.0000,   0.7503,  1.20753,  1.20747,  0.01190,  0.00000
  0.6452,   0.4839,   0.0000,   0.7507,  1.20724,  1.20724,  0.00398,  0.00000
  0.6452,   0.5161,   0.0000,   0.7507,  1.20724,  1.20724, -0.00399,  0.00000
  0.6452,   0.5484,   0.0000,   0.7503,  1.20753,  1.20747, -0.01190,  0.00000
  0.6452,   0.5806,   0.0000,   0.7496,  1.20782,  1.20766, -0.01967,  0.00000
